id,area,rent_sqft,units,yr_built,lat,lon,low_income,value_imprv_sqft
c10814951,18610,1.63,22,1964,37.8501708343809,-122.271616044181,No,220
c10819702,6249,1.98,6,1961,37.7650947818035,-122.254504357326,No,81
c10819999,4106,2.6,5,1913,37.8632794276259,-122.251037558061,No,172
c10821171,4733,1.86,5,1957,37.8622412427257,-122.282790831315,No,46
c10842535,10859,2.39,13,1951,37.8271883600745,-122.247217063362,No,84
c10856991,5490,1.84,5,1935,37.8267201753844,-122.259906763266,No,81
c10858491,3778,2.03,5,1943,37.7622747577077,-122.246955089752,No,70
c10859707,8492,1.99,8,1930,37.8013443833704,-122.251952071593,No,86
c10861954,14049,2.18,17,1960,37.6960949465296,-122.06685171831,No,63
c10866518,8780,2.49,8,1911,37.8830440416381,-122.263504315393,No,54
c10872414,4109,1.65,5,1952,37.853803642857,-122.280357119707,No,111
c10877482,5566,2,7,1954,37.7625069184126,-122.247489171956,No,83
c10882845,5288,1.64,8,1951,37.7970005926203,-122.267197982051,No,92
c10883920,5582,2.15,6,1954,37.758447059601,-122.245593870948,No,89
c10884091,9901,1.53,11,1949,37.8120548711799,-122.282579083112,Yes,96
c10884997,4636,1.78,7,1912,37.8293914752743,-122.271561660192,No,86
c10885160,5504,1.72,5,1935,37.8192655796555,-122.260114226632,No,65
c10885174,6595,1.57,6,1907,37.8209899899497,-122.275284154109,No,58
c10885585,3084,1.79,5,1943,37.8123353942621,-122.283778270622,No,106
c10890680,5187,1.58,6,1957,37.7998227421922,-122.221169711764,No,19
c10891769,9006,2.14,9,1964,37.8516567460227,-122.259878279911,No,116
c10891932,15185,2.1,15,1963,37.6628177118,-121.877783344692,No,71
c10892042,3522,2.14,5,1962,37.8567422093953,-122.279111291836,No,98
c10894824,4467,2.05,5,1931,37.8619180383179,-122.254317358581,Yes,89
c10896052,10148,2.28,13,1939,37.8298470982584,-122.262019713428,No,92
c10899341,6082,1.73,8,1912,37.7701740521772,-122.247595825085,No,118
c10905687,6379,1.51,7,1963,37.6754063667297,-122.075245983045,No,91
c10951274,4096,2.22,7,1930,37.8271912075756,-122.261573079187,Yes,86
c10953957,5451,2.09,7,1937,37.8564429251234,-122.264404573394,No,49
c10970185,6405,2.18,8,1933,37.8762373572675,-122.268063767407,No,98
c10976563,5102,2.11,7,1946,37.8464258249185,-122.272045502409,Yes,14
c10981532,5696,2.17,7,1928,37.86527558025,-122.269746768407,No,50
c10997909,6546,1.76,6,1951,37.7641286523617,-122.253796242962,No,50
c1100083,6387,2.11,10,1956,37.7997968657326,-122.217975352932,No,154
c11001191,4980,2.11,5,1929,37.8409392042496,-122.263683861388,No,135
c11010881,20767,2.09,12,1979,37.6985242219707,-122.183260480373,No,132
c11020095,5583,1.43,5,1967,37.7965412998624,-122.212083335949,No,91
c11087260,3241,1.83,6,1949,37.8715872953065,-122.29475638314,No,130
c11097344,9438,1.65,9,1957,37.6775512603533,-121.760797078074,No,124
c11097455,3576,1.92,5,1933,37.7668623359601,-122.25230198513,No,90
c11098526,10915,2.06,9,1963,37.8841687058019,-122.296633326246,No,47
c1109980,12780,2.04,14,1934,37.8005319268012,-122.245408581515,No,93
c11100425,3485,1.8,5,1923,37.7633613708499,-122.246897755045,No,124
c11105823,9011,1.4,8,1962,37.790653425639,-122.224116182064,No,82
c11132888,68012,1.61,64,2018,37.7025348560315,-121.927800162793,Yes,115
c11155337,6809,1.74,7,1961,37.7596588811274,-122.238436571282,No,134
c11159328,6248,2.45,7,1932,37.762326812368,-122.252315287988,No,98
c11159360,5319,1.7,5,1955,37.7739113452557,-122.273442913962,No,77
c11167185,2913,1.84,6,1932,37.7801744378822,-122.222501377898,Yes,98
c11177196,4333,1.89,6,1944,37.6853730886994,-122.128605294158,No,85
c11177440,84515,2.32,84,1956,37.6974219603857,-122.130727282464,No,0
c11177453,4455,2.03,5,1902,37.8469668198693,-122.275948955194,No,64
c11193578,3111,2.73,8,1935,37.8618330361071,-122.285691940559,No,58
c11204284,3813,1.87,5,1956,37.8780257292498,-122.288020474498,No,135
c11240695,7476,2.21,12,1945,37.8328818211197,-122.278488476244,No,104
c11249291,6955,1.31,5,1976,37.6917460772742,-122.111712052951,No,197
c11282827,4786,2.74,5,1914,37.850766793327,-122.254112140511,No,36
c1131986,14788,2.06,21,1955,37.7942937289057,-122.216873128492,No,95
c11323409,4997,1.95,7,1960,37.7674142566179,-122.249365098408,No,143
c11324436,6011,1.56,6,1938,37.8222268047775,-122.269685678313,No,68
